 "x",  "y",  "u",  "v",  "sigma",  "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma"
216,607,0,0,1,-21,316,0,0,0,0,0,0,0,0
225,607,0,0,1,-12,316,0,0,0,0,0,0,0,0
234,607,0,0,1,-3,316,0,0,0,0,0,0,0,0
243,607,0,0,1,6,316,0,0,0,0,0,0,0,0
252,607,0,0,1,15,316,0,0,0,0,0,0,0,0
261,607,0,0,1,24,316,0,0,0,0,0,0,0,0
270,607,0,0,1,33,316,0,0,0,0,0,0,0,0
279,607,0,0,1,42,316,0,0,0,0,0,0,0,0
288,607,0,0,1,51,316,0,0,0,0,0,0,0,0
297,607,0,0,1,60,316,0,0,0,0,0,0,0,0
306,607,0,0,1,69,316,0,0,0,0,0,0,0,0
315,607,0,0,1,78,316,0,0,0,0,0,0,0,0
324,607,0,0,1,87,316,0,0,0,0,0,0,0,0
333,607,0,0,1,96,316,0,0,0,0,0,0,0,0
216,616,0,0,1,-21,307,0,0,0,0,0,0,0,0
225,616,0,0,1,-12,307,0,0,0,0,0,0,0,0
234,616,0,0,1,-3,307,0,0,0,0,0,0,0,0
243,616,0,0,1,6,307,0,0,0,0,0,0,0,0
252,616,0,0,1,15,307,0,0,0,0,0,0,0,0
261,616,0,0,1,24,307,0,0,0,0,0,0,0,0
270,616,0,0,1,33,307,0,0,0,0,0,0,0,0
279,616,0,0,1,42,307,0,0,0,0,0,0,0,0
288,616,0,0,1,51,307,0,0,0,0,0,0,0,0
297,616,0,0,1,60,307,0,0,0,0,0,0,0,0
306,616,0,0,1,69,307,0,0,0,0,0,0,0,0
315,616,0,0,1,78,307,0,0,0,0,0,0,0,0
324,616,0,0,1,87,307,0,0,0,0,0,0,0,0
333,616,0,0,1,96,307,0,0,0,0,0,0,0,0
216,625,0,0,1,-21,298,0,0,0,0,0,0,0,0
225,625,0,0,1,-12,298,0,0,0,0,0,0,0,0
234,625,0,0,1,-3,298,0,0,0,0,0,0,0,0
243,625,0,0,1,6,298,0,0,0,0,0,0,0,0
252,625,0,0,1,15,298,0,0,0,0,0,0,0,0
261,625,0,0,1,24,298,0,0,0,0,0,0,0,0
270,625,0,0,1,33,298,0,0,0,0,0,0,0,0
279,625,0,0,1,42,298,0,0,0,0,0,0,0,0
288,625,0,0,1,51,298,0,0,0,0,0,0,0,0
297,625,0,0,1,60,298,0,0,0,0,0,0,0,0
306,625,0,0,1,69,298,0,0,0,0,0,0,0,0
315,625,0,0,1,78,298,0,0,0,0,0,0,0,0
324,625,0,0,1,87,298,0,0,0,0,0,0,0,0
207,634,0,0,1,-30,289,0,0,0,0,0,0,0,0
216,634,0,0,1,-21,289,0,0,0,0,0,0,0,0
225,634,0,0,1,-12,289,0,0,0,0,0,0,0,0
234,634,0,0,1,-3,289,0,0,0,0,0,0,0,0
243,634,0,0,1,6,289,0,0,0,0,0,0,0,0
252,634,0,0,1,15,289,0,0,0,0,0,0,0,0
261,634,0,0,1,24,289,0,0,0,0,0,0,0,0
270,634,0,0,1,33,289,0,0,0,0,0,0,0,0
279,634,0,0,1,42,289,0,0,0,0,0,0,0,0
288,634,0,0,1,51,289,0,0,0,0,0,0,0,0
297,634,0,0,1,60,289,0,0,0,0,0,0,0,0
306,634,0,0,1,69,289,0,0,0,0,0,0,0,0
315,634,0,0,1,78,289,0,0,0,0,0,0,0,0
324,634,0,0,1,87,289,0,0,0,0,0,0,0,0
207,643,0,0,1,-30,280,0,0,0,0,0,0,0,0
216,643,0,0,1,-21,280,0,0,0,0,0,0,0,0
225,643,0,0,1,-12,280,0,0,0,0,0,0,0,0
234,643,0,0,1,-3,280,0,0,0,0,0,0,0,0
243,643,0,0,1,6,280,0,0,0,0,0,0,0,0
252,643,0,0,1,15,280,0,0,0,0,0,0,0,0
261,643,0,0,1,24,280,0,0,0,0,0,0,0,0
270,643,0,0,1,33,280,0,0,0,0,0,0,0,0
279,643,0,0,1,42,280,0,0,0,0,0,0,0,0
288,643,0,0,1,51,280,0,0,0,0,0,0,0,0
297,643,0,0,1,60,280,0,0,0,0,0,0,0,0
306,643,0,0,1,69,280,0,0,0,0,0,0,0,0
315,643,0,0,1,78,280,0,0,0,0,0,0,0,0
324,643,0,0,1,87,280,0,0,0,0,0,0,0,0
207,652,0,0,1,-30,271,0,0,0,0,0,0,0,0
216,652,0,0,1,-21,271,0,0,0,0,0,0,0,0
225,652,0,0,1,-12,271,0,0,0,0,0,0,0,0
234,652,0,0,1,-3,271,0,0,0,0,0,0,0,0
243,652,0,0,1,6,271,0,0,0,0,0,0,0,0
252,652,0,0,1,15,271,0,0,0,0,0,0,0,0
261,652,0,0,1,24,271,0,0,0,0,0,0,0,0
270,652,0,0,1,33,271,0,0,0,0,0,0,0,0
279,652,0,0,1,42,271,0,0,0,0,0,0,0,0
288,652,0,0,1,51,271,0,0,0,0,0,0,0,0
297,652,0,0,1,60,271,0,0,0,0,0,0,0,0
306,652,0,0,1,69,271,0,0,0,0,0,0,0,0
315,652,0,0,1,78,271,0,0,0,0,0,0,0,0
324,652,0,0,1,87,271,0,0,0,0,0,0,0,0
207,661,0,0,1,-30,262,0,0,0,0,0,0,0,0
216,661,0,0,1,-21,262,0,0,0,0,0,0,0,0
225,661,0,0,1,-12,262,0,0,0,0,0,0,0,0
234,661,0,0,1,-3,262,0,0,0,0,0,0,0,0
243,661,0,0,1,6,262,0,0,0,0,0,0,0,0
252,661,0,0,1,15,262,0,0,0,0,0,0,0,0
261,661,0,0,1,24,262,0,0,0,0,0,0,0,0
270,661,0,0,1,33,262,0,0,0,0,0,0,0,0
279,661,0,0,1,42,262,0,0,0,0,0,0,0,0
288,661,0,0,1,51,262,0,0,0,0,0,0,0,0
297,661,0,0,1,60,262,0,0,0,0,0,0,0,0
306,661,0,0,1,69,262,0,0,0,0,0,0,0,0
315,661,0,0,1,78,262,0,0,0,0,0,0,0,0
324,661,0,0,1,87,262,0,0,0,0,0,0,0,0
207,670,0,0,1,-30,253,0,0,0,0,0,0,0,0
216,670,0,0,1,-21,253,0,0,0,0,0,0,0,0
225,670,0,0,1,-12,253,0,0,0,0,0,0,0,0
234,670,0,0,1,-3,253,0,0,0,0,0,0,0,0
243,670,0,0,1,6,253,0,0,0,0,0,0,0,0
252,670,0,0,1,15,253,0,0,0,0,0,0,0,0
261,670,0,0,1,24,253,0,0,0,0,0,0,0,0
270,670,0,0,1,33,253,0,0,0,0,0,0,0,0
279,670,0,0,1,42,253,0,0,0,0,0,0,0,0
288,670,0,0,1,51,253,0,0,0,0,0,0,0,0
297,670,0,0,1,60,253,0,0,0,0,0,0,0,0
306,670,0,0,1,69,253,0,0,0,0,0,0,0,0
315,670,0,0,1,78,253,0,0,0,0,0,0,0,0
324,670,0,0,1,87,253,0,0,0,0,0,0,0,0
207,679,0,0,1,-30,244,0,0,0,0,0,0,0,0
216,679,0,0,1,-21,244,0,0,0,0,0,0,0,0
225,679,0,0,1,-12,244,0,0,0,0,0,0,0,0
234,679,0,0,1,-3,244,0,0,0,0,0,0,0,0
243,679,0,0,1,6,244,0,0,0,0,0,0,0,0
252,679,0,0,1,15,244,0,0,0,0,0,0,0,0
261,679,0,0,1,24,244,0,0,0,0,0,0,0,0
270,679,0,0,1,33,244,0,0,0,0,0,0,0,0
279,679,0,0,1,42,244,0,0,0,0,0,0,0,0
288,679,0,0,1,51,244,0,0,0,0,0,0,0,0
297,679,0,0,1,60,244,0,0,0,0,0,0,0,0
306,679,0,0,1,69,244,0,0,0,0,0,0,0,0
315,679,0,0,1,78,244,0,0,0,0,0,0,0,0
324,679,0,0,1,87,244,0,0,0,0,0,0,0,0
207,688,0,0,1,-30,235,0,0,0,0,0,0,0,0
216,688,0,0,1,-21,235,0,0,0,0,0,0,0,0
225,688,0,0,1,-12,235,0,0,0,0,0,0,0,0
234,688,0,0,1,-3,235,0,0,0,0,0,0,0,0
243,688,0,0,1,6,235,0,0,0,0,0,0,0,0
252,688,0,0,1,15,235,0,0,0,0,0,0,0,0
261,688,0,0,1,24,235,0,0,0,0,0,0,0,0
