 "x",  "y",  "u",  "v",  "sigma",  "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma"
216,607,0.218952,99.2037,0.063594,-21,316,0.218948,-99.2037,0.0307303,0.0481294,-0.00713939,0.0506839,0.0281759,-1.22719
225,607,-0.00250464,99.8629,0.0527842,-12,316,-0.00250244,-99.8629,0.0287956,0.0467429,-0.00563767,0.0483669,0.0271716,-1.29033
234,607,0.322401,100.399,0.0411151,-3,316,0.322403,-100.399,0.0267621,0.045272,-0.00425103,0.0462016,0.0258325,-1.35551
243,607,0.631575,100.492,0.0327122,6,316,0.631577,-100.492,0.0248761,0.0439074,-0.00309172,0.0443971,0.0243865,-1.41372
252,607,0.997641,100.684,0.0293861,15,316,0.997635,-100.684,0.0228981,0.0426143,-0.00196889,0.042809,0.0227034,-1.47223
261,607,1.71628,100.116,0.0294571,24,316,1.71628,-100.116,0.0209064,0.0412845,-0.000914879,0.0413255,0.0208655,-1.52602
270,607,1.76086,100.094,0.025824,33,316,1.76086,-100.094,0.0189239,0.0399213,6.17517e-05,0.0399215,0.0189237,1.56786
279,607,1.76842,100.046,0.0222608,42,316,1.7684,-100.046,0.0169729,0.0385284,0.000953753,0.0385705,0.0169307,1.52666
288,607,1.82565,100.037,0.0207018,51,316,1.82565,-100.037,0.0150751,0.0371091,0.00175528,0.0372481,0.0149361,1.4918
297,607,1.88346,100.057,0.0195651,60,316,1.88345,-100.057,0.013252,0.0356663,0.0024619,0.0359335,0.0129848,1.46268
306,607,1.9522,100.078,0.0196074,69,316,1.95221,-100.078,0.0114834,0.0340627,0.00311261,0.0344839,0.0110622,1.43629
315,607,2.04342,100.086,0.0196149,78,316,2.04343,-100.086,0.00989531,0.0323159,0.00364932,0.0328949,0.00931627,1.41344
324,607,2.1186,100.027,0.0237543,87,316,2.11859,-100.027,0.00858387,0.0305784,0.00389764,0.0312487,0.0079136,1.40049
333,607,2.31343,100.011,0.0286332,96,316,2.31342,-100.011,0.00782945,0.0287094,0.00384855,0.0293962,0.00714269,1.39421
216,616,0.282101,100.424,0.0451489,-21,307,0.282104,-100.424,0.0307375,0.041465,-0.00608135,0.0442101,0.0279924,-1.14679
225,616,0.288609,100.688,0.0406317,-12,307,0.288605,-100.688,0.0287254,0.0404378,-0.00477394,0.0421371,0.0270261,-1.22883
261,616,1.82962,100.243,0.0336332,24,307,1.82962,-100.243,0.0205772,0.0364022,-0.000593437,0.0364244,0.020555,-1.53337
270,616,1.79936,100.258,0.0288104,33,307,1.79938,-100.258,0.0185422,0.0353884,0.000280929,0.035393,0.0185375,1.55413
279,616,1.78633,100.137,0.023595,42,307,1.78632,-100.137,0.0165422,0.034349,0.0010832,0.0344146,0.0164766,1.51026
288,616,1.82223,100.136,0.0228123,51,307,1.82224,-100.136,0.0145996,0.0332848,0.00180769,0.0334581,0.0144264,1.47523
297,616,1.91513,100.128,0.0201145,60,307,1.91513,-100.128,0.0127362,0.0321961,0.00244993,0.0324998,0.0124325,1.44746
306,616,1.9717,100.103,0.0178478,69,307,1.97171,-100.103,0.0109392,0.0309826,0.00304598,0.0314352,0.0104865,1.42326
