 "x",  "y",  "u",  "v",  "sigma",  "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma"
234,634,1.88767,85.9924,0.0238996,-3,289,1.88766,-85.9924,0.0141899,0.00612918,-0.00108299,0.0143329,0.00598622,-0.131253
243,634,1.94673,86.015,0.0265063,6,289,1.94673,-86.015,0.0129278,0.00599163,-0.00089409,0.0130412,0.00587823,-0.126156
252,634,1.98837,85.9514,0.0304728,15,289,1.98837,-85.9514,0.0118777,0.0058889,-0.000708462,0.0119603,0.00580623,-0.116163
261,634,2.00823,85.9273,0.0287506,24,289,2.00824,-85.9273,0.0110412,0.0058226,-0.000528317,0.0110941,0.00576965,-0.0998871
270,634,1.99549,85.9138,0.0255739,33,289,1.99548,-85.9138,0.0104169,0.00579344,-0.000355771,0.0104442,0.00576623,-0.0763494
279,634,1.99118,85.9266,0.0230057,42,289,1.99118,-85.9266,0.0100037,0.00580174,-0.000192783,0.0100125,0.00579291,-0.0457515
288,634,2.11068,85.9191,0.0196288,51,289,2.11069,-85.9191,0.00980019,0.00584739,-4.11333e-05,0.00980062,0.00584696,-0.0104046
297,634,2.20454,85.8925,0.020164,60,289,2.20453,-85.8925,0.00980558,0.00592993,9.75785e-05,0.00980804,0.00592747,0.0251561
306,634,2.14405,85.9114,0.0207701,69,289,2.14404,-85.9114,0.010255,0.00605007,0.000249767,0.0102698,0.00603529,0.059121
315,634,2.09809,85.872,0.023278,78,289,2.09808,-85.872,0.0111683,0.00625731,0.000378916,0.0111974,0.00622825,0.0765529
324,634,2.71744,85.8164,0.0241832,87,289,2.71744,-85.8164,0.0126004,0.00657929,0.000459651,0.0126353,0.0065444,0.0757552
207,643,1.03909,86.002,0.028929,-30,280,1.03909,-86.002,0.0212243,0.00737357,-0.00130963,0.0213471,0.00725083,-0.0934498
216,643,1.62043,86,0.0240017,-21,280,1.62042,-86,0.0183677,0.0070438,-0.00115098,0.0184835,0.006928,-0.100275
225,643,1.73722,86.0119,0.0215467,-12,280,1.73721,-86.0119,0.0160777,0.00683873,-0.000999115,0.0161845,0.00673192,-0.106501
234,643,1.83954,85.9891,0.0219957,-3,280,1.83954,-85.9891,0.0142947,0.00671356,-0.000848448,0.0143885,0.00661977,-0.110101
243,643,1.90214,85.9906,0.0239371,6,280,1.90215,-85.9907,0.0129959,0.00663867,-0.000719399,0.0130762,0.00655828,-0.111288
252,643,1.95589,85.9407,0.0292289,15,280,1.95589,-85.9407,0.0119106,0.00659352,-0.000592106,0.0119758,0.00652838,-0.10957
261,643,1.97391,85.9375,0.0289957,24,280,1.97391,-85.9374,0.0110367,0.00657907,-0.000468544,0.0110855,0.00653035,-0.103601
270,643,1.97306,85.9442,0.0237873,33,280,1.97305,-85.9442,0.010373,0.00659605,-0.000350504,0.0104053,0.0065638,-0.0917561
279,643,2.00005,85.967,0.0224071,42,280,2.00006,-85.967,0.00991843,0.00664479,-0.000239635,0.00993588,0.00662734,-0.072685
288,643,2.0769,85.9787,0.019428,51,280,2.0769,-85.9788,0.0096721,0.00672525,-0.000137442,0.0096785,0.00671885,-0.0465055
297,643,2.13597,85.9866,0.018273,60,280,2.13596,-85.9866,0.00963335,0.00683703,-4.52883e-05,0.00963408,0.00683629,-0.01619
306,643,2.15593,85.9773,0.0184481,69,280,2.15591,-85.9773,0.0100302,0.00697896,6.05806e-05,0.0100314,0.00697775,0.0198439
315,643,2.18802,85.9482,0.0211291,78,280,2.18802,-85.9482,0.0109054,0.00721073,0.000142089,0.0109109,0.00720527,0.038382
324,643,2.5781,85.8831,0.0240173,87,280,2.57809,-85.8831,0.0123006,0.00754189,0.000182919,0.0123076,0.00753487,0.0383633
207,652,0.828951,85.9827,0.0269811,-30,271,0.828949,-85.9827,0.0213419,0.00812668,-0.000939193,0.0214084,0.00806027,-0.0705959
216,652,1.51237,85.9863,0.0246402,-21,271,1.51237,-85.9863,0.0184858,0.00788249,-0.000850225,0.0185536,0.00781475,-0.0795077
225,652,1.65135,85.9989,0.0216818,-12,271,1.65135,-85.9989,0.0161898,0.00774507,-0.000762399,0.016258,0.00767679,-0.0893191
234,652,1.79352,85.9818,0.0202501,-3,271,1.79352,-85.9818,0.0143975,0.00766897,-0.000671867,0.014464,0.00760254,-0.0985564
243,652,1.86557,85.9642,0.0199254,6,271,1.86557,-85.9642,0.0130656,0.00763368,-0.000593899,0.0131298,0.0075695,-0.107641
252,652,1.93376,85.9522,0.0217046,15,271,1.93376,-85.9523,0.0119475,0.00762421,-0.000516202,0.0120083,0.00756343,-0.117206
261,652,1.95901,85.9587,0.023855,24,271,1.95901,-85.9587,0.0110384,0.00764102,-0.000440608,0.0110946,0.00758481,-0.126893
270,652,1.97385,85.9718,0.0221537,33,271,1.97385,-85.9717,0.0103375,0.00768488,-0.00036867,0.0103878,0.00763459,-0.135563
279,652,2.00879,85.9835,0.0203901,42,271,2.00879,-85.9835,0.00984381,0.00775622,-0.000301821,0.00988657,0.00771346,-0.14074
288,652,2.06773,85.9884,0.0197227,51,271,2.06775,-85.9884,0.00955683,0.00785514,-0.000241379,0.00959041,0.00782157,-0.138215
297,652,2.11923,86.0028,0.0181236,60,271,2.11923,-86.0028,0.00947609,0.00798143,-0.000188561,0.00949951,0.00795801,-0.123577
306,652,2.17795,85.9993,0.0180634,69,271,2.17795,-85.9993,0.00982859,0.00813388,-0.000122687,0.00983743,0.00812504,-0.0718942
