 "x",  "y",  "u",  "v",  "sigma",  "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma"
216,607,-1.83456,97.5072,0.0636833,-21,316,-1.83456,-97.5071,0.0352142,0.0191946,-0.00362752,0.0359973,0.0184114,-0.212625
225,607,-1.84214,97.9912,0.0518659,-12,316,-1.84215,-97.9911,0.0324746,0.0177687,-0.00279368,0.0329874,0.0172559,-0.181547
243,607,-1.30104,97.9682,0.0301404,6,316,-1.30104,-97.9682,0.027354,0.0150245,-0.00150163,0.0275342,0.0148443,-0.119466
252,607,-0.173577,97.8992,0.0283975,15,316,-0.173584,-97.8992,0.0249292,0.0137322,-0.000969128,0.0250125,0.0136489,-0.085703
261,607,-0.23396,97.9131,0.0268552,24,316,-0.233948,-97.913,0.0225461,0.0124376,-0.000491132,0.0225699,0.0124138,-0.0484341
270,607,-0.269074,97.9111,0.023899,33,316,-0.269073,-97.9111,0.0202315,0.0111469,-6.54155e-05,0.020232,0.0111464,-0.00720015
279,607,-0.256972,97.9132,0.020882,42,316,-0.256958,-97.9133,0.0180116,0.00986618,0.000310431,0.0180234,0.00985436,0.0380377
288,607,-0.165626,97.913,0.0197927,51,316,-0.165619,-97.913,0.0159109,0.00860133,0.000638861,0.0159663,0.00854591,0.0865263
297,607,-0.0786409,97.9151,0.018864,60,316,-0.0786438,-97.9151,0.013953,0.00735766,0.000922264,0.0140795,0.00723112,0.136352
306,607,-0.00672313,97.9116,0.0197122,69,316,-0.00671387,-97.9116,0.0121492,0.0059858,0.00109007,0.0123363,0.00579869,0.169995
315,607,0.0699481,97.9184,0.0206012,78,316,0.0699463,-97.9184,0.010577,0.0046178,0.00116897,0.0107981,0.0043967,0.186936
324,607,0.0990827,97.9001,0.0253953,87,316,0.0990906,-97.9001,0.00941661,0.0033052,0.00112909,0.00961853,0.00310327,0.176972
333,607,0.415746,97.904,0.0298861,96,316,0.415741,-97.9041,0.00890762,0.00205431,0.000981847,0.00904551,0.00191642,0.139528
216,616,-1.80734,97.9434,0.0448311,-21,307,-1.80734,-97.9434,0.0343507,0.0206498,-0.00370149,0.0352868,0.0197137,-0.247693
225,616,-1.76337,98.0925,0.0390218,-12,307,-1.76337,-98.0925,0.0316425,0.0193869,-0.0028457,0.0322711,0.0187583,-0.217377
234,616,-1.73705,97.937,0.0318733,-3,307,-1.73705,-97.937,0.0289523,0.0181105,-0.00209645,0.0293435,0.0177192,-0.184509
243,616,-0.97775,97.9803,0.0298739,6,307,-0.977753,-97.9803,0.0265807,0.0169702,-0.00147829,0.026803,0.0167479,-0.149225
252,616,-0.0269595,97.9895,0.0317409,15,307,-0.0269623,-97.9896,0.024191,0.0158341,-0.000901387,0.0242871,0.015738,-0.106234
261,616,-0.114157,97.9796,0.0299579,24,307,-0.114166,-97.9797,0.0218428,0.0146944,-0.000376699,0.0218626,0.0146746,-0.0525034
270,616,-0.192503,97.9749,0.0254465,33,307,-0.192505,-97.9749,0.0195613,0.0135561,9.72909e-05,0.0195629,0.0135545,0.0161953
279,616,-0.235594,97.9844,0.0208871,42,307,-0.235596,-97.9844,0.0173709,0.012424,0.00052229,0.0174254,0.0123695,0.104051
288,616,-0.153808,97.9849,0.0206146,51,307,-0.153809,-97.9849,0.0152949,0.011303,0.000900085,0.0154885,0.0111095,0.211824
297,616,-0.0583169,97.9646,0.0185444,60,307,-0.0583191,-97.9646,0.0133559,0.0101976,0.00123245,0.0137799,0.00977363,0.331358
306,616,-0.0105064,97.9345,0.0173393,69,307,-0.010498,-97.9345,0.0115788,0.00898277,0.00146412,0.0122374,0.00832413,0.422733
315,616,0.03909,97.9296,0.0180104,78,307,0.039093,-97.9296,0.0100262,0.00777186,0.00159923,0.0108556,0.0069425,0.478416
324,616,0.12948,97.9678,0.0196096,87,307,0.129486,-97.9678,0.00888645,0.00660111,0.00161472,0.00972191,0.00576564,0.477474
333,616,0.944926,98.1994,0.0273835,96,307,0.944916,-98.1995,0.00837285,0.00547229,0.00152012,0.00902354,0.0048216,0.404453
216,625,-1.78761,98.0819,0.0297961,-21,298,-1.78761,-98.082,0.0335991,0.0214291,-0.00384146,0.0347102,0.020318,-0.281558
225,625,-1.76507,98.1077,0.0271579,-12,298,-1.76508,-98.1077,0.0309014,0.0203342,-0.00297009,0.031679,0.0195566,-0.256056
234,625,-1.55247,98.0691,0.0288361,-3,298,-1.55247,-98.0691,0.0282632,0.019231,-0.00219532,0.0287685,0.0187256,-0.226235
243,625,-0.92674,98.0405,0.0322439,6,298,-0.926743,-98.0405,0.0258974,0.0182474,-0.00153761,0.0261949,0.0179499,-0.191109
252,625,-0.101232,98.0157,0.0348373,15,298,-0.101227,-98.0157,0.0235318,0.0172666,-0.00092216,0.0236648,0.0171337,-0.143143
261,625,-0.134067,98.0246,0.0318104,24,298,-0.134064,-98.0246,0.0212101,0.0162823,-0.000355687,0.0212357,0.0162568,-0.071684
270,625,-0.15712,98.024,0.0279874,33,298,-0.157135,-98.024,0.0189557,0.0152987,0.000162665,0.0189629,0.0152915,0.0443638
279,625,-0.213278,98.0532,0.0229424,42,298,-0.213287,-98.0532,0.0167911,0.0143199,0.000633952,0.0169442,0.0141668,0.237031
288,625,-0.105095,98.042,0.0223473,51,298,-0.105103,-98.042,0.0147382,0.0133502,0.00105933,0.0153106,0.0127778,0.495422
297,625,-0.029933,97.9967,0.020404,60,298,-0.0299377,-97.9968,0.0128181,0.0123937,0.00144,0.0140615,0.0111503,0.712228
306,625,0.00399181,97.9586,0.0178639,69,298,0.0039978,-97.9586,0.011066,0.0113516,0.00173285,0.0129476,0.00947012,0.826509
315,625,-0.00245955,97.9391,0.0201135,78,298,-0.00247192,-97.9391,0.00953801,0.0103179,0.0019266,0.0118936,0.0079623,0.885252
324,625,0.173131,97.9855,0.0192339,87,298,0.173126,-97.9855,0.00842392,0.00931904,0.0020024,0.0109233,0.00681967,0.895346
