 "x",  "y",  "u",  "v",  "sigma",  "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma"
216,607,-0.432459,96.9175,0.0622393,-21,316,-0.432465,-96.9175,0.00762723,0.00745658,-0.0017132,0.00925723,0.00582659,-0.760517
225,607,-0.26383,97.6479,0.0510529,-12,316,-0.263824,-97.6479,0.00705085,0.00688944,-0.00109071,0.00806384,0.00587645,-0.748468
234,607,-0.18303,97.8764,0.0382769,-3,316,-0.183029,-97.8764,0.0069747,0.00652031,-0.000495197,0.00729233,0.00620268,-0.570327
243,607,-0.0568826,97.9108,0.0303661,6,316,-0.0568848,-97.9108,0.0074597,0.00627496,-3.97001e-05,0.00746103,0.00627363,-0.0334596
252,607,0.0588741,97.875,0.0276848,15,316,0.0588684,-97.875,0.00811691,0.00610418,0.00040507,0.00819537,0.00602572,0.191334
261,607,0.037263,97.8208,0.0270767,24,316,0.037262,-97.8208,0.00898138,0.00602071,0.000840284,0.00920324,0.00579885,0.258139
270,607,0.00887652,97.776,0.0250639,33,316,0.00888062,-97.776,0.0100572,0.00602428,0.00126336,0.0104203,0.00566121,0.279844
279,607,0.0148275,97.7314,0.0229333,42,316,0.0148315,-97.7314,0.0113484,0.00611364,0.00167174,0.0118367,0.00562532,0.284197
288,607,0.0957204,97.6868,0.0233488,51,316,0.0957336,-97.6868,0.0128587,0.00628668,0.00206304,0.0134526,0.00569274,0.280314
297,607,0.237961,97.5928,0.0251954,60,316,0.237976,-97.5928,0.0145917,0.00654058,0.00243514,0.015271,0.00586135,0.272013
306,607,0.382099,97.4889,0.0289109,69,316,0.382111,-97.4889,0.0168018,0.00694958,0.00283314,0.0175584,0.00619298,0.260965
315,607,0.418367,97.518,0.0309368,78,316,0.418365,-97.518,0.0194014,0.00748568,0.00322692,0.0202192,0.00666791,0.248195
324,607,0.970739,97.1971,0.036612,87,316,0.970734,-97.1971,0.0225455,0.00824503,0.00355108,0.0233788,0.00741178,0.230477
216,616,-0.30442,97.6322,0.044436,-21,307,-0.304413,-97.6322,0.00769596,0.00774362,-0.00124676,0.00896678,0.0064728,-0.794955
225,616,-0.208067,97.8587,0.0391801,-12,307,-0.208069,-97.8586,0.00710378,0.00721103,-0.000756835,0.00791614,0.00639867,-0.820766
234,616,-0.0670236,97.9535,0.0324792,-3,307,-0.0670166,-97.9535,0.0069959,0.00684464,-0.000300372,0.00723002,0.00661052,-0.662061
243,616,0.0111792,97.9922,0.0301456,6,307,0.0111847,-97.9922,0.00744279,0.00658913,4.2272e-05,0.00744488,0.00658704,0.0493575
252,616,0.100458,97.9563,0.030737,15,307,0.100464,-97.9564,0.00807143,0.00639928,0.000372942,0.00815084,0.00631988,0.209788
261,616,0.0840399,97.9026,0.0298166,24,307,0.0840454,-97.9026,0.00890376,0.00628419,0.000692306,0.00907547,0.00611249,0.243119
270,616,0.0554199,97.8449,0.0263933,33,307,0.0554199,-97.8448,0.00994395,0.00624469,0.000998685,0.0101963,0.0059923,0.247543
279,616,0.0397521,97.798,0.0222722,42,307,0.0397644,-97.798,0.0111961,0.00628076,0.00129046,0.0115143,0.00596257,0.241753
288,616,0.172663,97.6807,0.0226174,51,307,0.172668,-97.6807,0.0126643,0.00639167,0.00156614,0.0130336,0.00602238,0.231567
297,616,0.251581,97.6502,0.0228374,60,307,0.251587,-97.6502,0.0143524,0.00657601,0.00182445,0.0147592,0.00616925,0.219364
306,616,0.30747,97.6293,0.0245709,69,307,0.307465,-97.6293,0.0164895,0.00688864,0.0020959,0.0169271,0.00645104,0.205831
315,616,0.22215,97.6922,0.0267923,78,307,0.222137,-97.6921,0.0190462,0.00733644,0.00235158,0.0195008,0.00688184,0.190962
324,616,0.928535,97.6757,0.0276467,87,307,0.928528,-97.6757,0.022147,0.00799173,0.00254416,0.0225904,0.00754835,0.172541
333,616,1.50205,97.7467,0.0293222,96,307,1.50204,-97.7467,0.0258404,0.00883845,0.00267576,0.0262516,0.00842728,0.15247
216,625,-0.152855,97.9176,0.0295959,-21,298,-0.152847,-97.9177,0.00783369,0.00868401,-0.000876409,0.00923294,0.00728476,-1.01123
225,625,-0.116517,97.9405,0.0269741,-12,298,-0.116516,-97.9405,0.00724501,0.00818326,-0.000491497,0.00839358,0.00703469,-1.16645
234,625,-0.0774333,97.9569,0.0282543,-3,298,-0.0774384,-97.9569,0.00715297,0.00783386,-0.000145467,0.00786364,0.0071232,-1.36889
243,625,-0.0571608,97.9733,0.0308811,6,298,-0.0571594,-97.9733,0.00757681,0.00757399,0.00010794,0.00768335,0.00746745,0.778866
252,625,0.0269445,97.9151,0.0327508,15,298,0.026947,-97.9151,0.00818948,0.00737154,0.000347597,0.00831724,0.00724378,0.352228
261,625,0.0700696,97.8958,0.0306506,24,298,0.0700684,-97.8958,0.0090027,0.00723201,0.000573482,0.00917221,0.0070625,0.287396
270,625,0.0757993,97.8946,0.0281232,33,298,0.0758057,-97.8946,0.0100204,0.00715688,0.000784538,0.0102213,0.00695602,0.250634
279,625,0.0583877,97.8692,0.0235799,42,298,0.0583801,-97.8692,0.0112465,0.00714693,0.000979796,0.0114687,0.0069248,0.222944
288,625,0.180894,97.763,0.0234607,51,298,0.180908,-97.7629,0.0126851,0.00720234,0.00115841,0.0129198,0.00696764,0.199904
297,625,0.194301,97.7573,0.023328,60,298,0.194305,-97.7573,0.0143399,0.0073227,0.00131969,0.0145799,0.00708272,0.179881
306,625,0.232494,97.7203,0.0227741,69,298,0.232483,-97.7203,0.0164215,0.00754244,0.00148228,0.0166624,0.00730152,0.161123
315,625,0.0695523,97.8527,0.0275886,78,298,0.0695496,-97.8527,0.0189446,0.00789704,0.00161674,0.0191763,0.0076653,0.142368
324,625,0.985664,97.7915,0.0235873,87,298,0.985657,-97.7914,0.0220077,0.00843708,0.00168936,0.0222148,0.00822994,0.122006
207,634,-0.413602,98.0183,0.0299677,-30,289,-0.413605,-98.0183,0.0090798,0.0105007,-0.000942396,0.0109704,0.00861006,-1.10839
216,634,-0.193436,97.9935,0.0240591,-21,289,-0.193436,-97.9935,0.00802176,0.009918,-0.00058055,0.0100816,0.00785814,-1.29608
225,634,-0.120023,98.0132,0.0226885,-12,289,-0.120026,-98.0132,0.00744832,0.00945722,-0.000274903,0.00949416,0.00741138,-1.43722
234,634,-0.0914652,98.0083,0.0247071,-3,289,-0.0914612,-98.0083,0.00737207,0.00912747,-1.15367e-05,0.00912755,0.00737199,-1.56422
243,634,-0.0999153,97.9789,0.0279657,6,289,-0.0999146,-97.9789,0.00778012,0.0088762,0.000173185,0.00890291,0.00775341,1.41776
252,634,-0.0446847,97.8943,0.0317644,15,289,-0.0446777,-97.8943,0.00838176,0.00867512,0.000342115,0.00890067,0.0081562,0.987918
261,634,0.022636,97.8904,0.0304002,24,289,0.022644,-97.8904,0.0091815,0.00852679,0.000494485,0.00944717,0.00826113,0.493012
270,634,0.0561046,97.9004,0.0280882,33,289,0.0560913,-97.9003,0.010183,0.00843293,0.00062954,0.010386,0.00823,0.311823
279,634,0.0812566,97.9346,0.0255,42,289,0.0812683,-97.9346,0.0113901,0.00839468,0.000746645,0.0115659,0.00821889,0.231233
288,634,0.142193,97.9125,0.021327,51,289,0.142181,-97.9125,0.0128065,0.00841273,0.000845289,0.0129635,0.00825572,0.183654
297,634,0.145448,97.9147,0.020949,60,289,0.145447,-97.9147,0.014436,0.00848727,0.000925104,0.0145765,0.00834673,0.150771
306,634,0.119742,97.9128,0.0210416,69,289,0.119751,-97.9128,0.0164777,0.008638,0.000994679,0.016602,0.00851377,0.124254
315,634,0.140461,97.9307,0.0236337,78,289,0.140472,-97.9307,0.0189784,0.00891933,0.0010228,0.0190813,0.00881639,0.100311
324,634,0.914578,97.9207,0.0243436,87,289,0.914581,-97.9207,0.0220151,0.00936246,0.000986099,0.0220915,0.00928606,0.0773139
207,643,-0.425361,98.0422,0.0285926,-30,280,-0.425354,-98.0422,0.00928097,0.011705,-0.000646621,0.0118667,0.00911927,-1.32575
216,643,-0.238605,98.0536,0.0240499,-21,280,-0.238602,-98.0536,0.00823969,0.0111881,-0.000336511,0.0112261,0.00820177,-1.45859
225,643,-0.160718,98.0817,0.021725,-12,280,-0.160721,-98.0817,0.00768087,0.0107761,-8.69236e-05,0.0107785,0.00767843,-1.54274
