 "x",  "y",  "u",  "v",  "sigma",  "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma"
216,607,-0.493396,97.5535,0.0628217,-21,316,-0.493393,-97.5535,0.0126609,0.0362771,0.00293152,0.0366356,0.0123025,1.44912
225,607,-0.294321,97.9398,0.0513516,-12,316,-0.294327,-97.9398,0.0114209,0.0353365,0.00247581,0.0355901,0.0111673,1.46872
234,607,-0.264701,97.9689,0.0390833,-3,316,-0.264694,-97.9689,0.0107402,0.0343407,0.00206622,0.0345202,0.0105607,1.48412
243,607,-0.0471717,97.9456,0.0290785,6,316,-0.0471649,-97.9456,0.0106675,0.0334185,0.00173397,0.0335498,0.0105361,1.49516
252,607,0.119592,98.0138,0.0251608,15,316,0.119598,-98.0138,0.0107764,0.0324737,0.00141739,0.0325659,0.0106842,1.50584
261,607,0.112171,98.0558,0.0236262,24,316,0.112183,-98.0558,0.0110966,0.0315,0.00111155,0.0315604,0.0110363,1.51653
270,607,0.0769815,98.0588,0.0214852,33,316,0.0769958,-98.0588,0.0116329,0.0305043,0.000816263,0.0305395,0.0115977,1.52765
279,607,0.0480813,98.0445,0.0189521,42,316,0.0480957,-98.0446,0.0123905,0.0294929,0.000531281,0.0295094,0.012374,1.53977
288,607,0.107145,98.036,0.0179634,51,316,0.107147,-98.036,0.0133749,0.0284714,0.000256238,0.0284758,0.0133706,1.55383
297,607,0.189543,98.0342,0.0191787,60,316,0.189545,-98.0342,0.0145921,0.0274446,-9.46702e-06,0.0274446,0.014592,-1.57006
306,607,0.261933,98.0437,0.0227255,69,316,0.261932,-98.0438,0.0162712,0.0262281,-0.000313423,0.0262379,0.0162614,-1.53936
315,607,0.318349,98.0637,0.0253508,78,316,0.318359,-98.0637,0.0183724,0.0249441,-0.000612988,0.0250008,0.0183157,-1.47858
324,607,0.421441,98.1209,0.0326195,87,316,0.421448,-98.121,0.0210779,0.023679,-0.000888643,0.0239536,0.0208033,-1.27109
225,616,-0.210484,98.3162,0.0403336,-12,307,-0.21048,-98.3162,0.0114032,0.0327766,0.00215719,0.0329921,0.0111876,1.47121
234,616,-0.168462,98.0421,0.0346842,-3,307,-0.168457,-98.0421,0.0107561,0.0320368,0.00184264,0.0321951,0.0105978,1.48506
243,616,0.00482809,97.995,0.0316739,6,307,0.00482178,-97.995,0.0106962,0.0313383,0.00159147,0.0314603,0.0105742,1.4943
252,616,0.133564,98.0593,0.0317227,15,307,0.13356,-98.0593,0.0108232,0.0306149,0.00135481,0.0307073,0.0107308,1.50277
261,616,0.128197,98.0748,0.0299901,24,307,0.128204,-98.0748,0.0111588,0.0298621,0.00112866,0.0299299,0.0110909,1.51074
270,616,0.126031,98.1025,0.0262992,33,307,0.126038,-98.1025,0.011708,0.029085,0.000912635,0.0291328,0.0116602,1.51847
279,616,0.102789,98.1116,0.0218057,42,307,0.102783,-98.1116,0.012476,0.0282888,0.000706256,0.0283203,0.0124446,1.52625
288,616,0.196733,98.134,0.0214571,51,307,0.196747,-98.134,0.0134686,0.0274775,0.000508908,0.027496,0.0134502,1.53453
297,616,0.270074,98.1456,0.0207529,60,307,0.270081,-98.1456,0.0146917,0.0266548,0.000319732,0.0266633,0.0146832,1.5441
306,616,0.292087,98.1451,0.0210613,69,307,0.292084,-98.1451,0.0163539,0.0256798,0.000101729,0.0256809,0.0163528,1.55989
315,616,0.258451,98.1072,0.0227176,78,307,0.258453,-98.1072,0.0184639,0.0246387,-0.000109325,0.0246406,0.018462,-1.5531
324,616,0.82053,98.1858,0.0245829,87,307,0.820526,-98.1858,0.0211869,0.023603,-0.000297599,0.0236391,0.0211507,-1.45003
333,616,1.389,98.2846,0.0295049,96,307,1.38901,-98.2846,0.024641,0.0226007,-0.000475021,0.0247462,0.0224955,-0.217893
216,625,-0.255871,99.0345,0.0313632,-21,298,-0.255875,-99.0345,0.0124161,0.0304895,0.00206808,0.0307231,0.0121825,1.45831
225,625,-0.286114,98.4637,0.0293126,-12,298,-0.286118,-98.4637,0.0113004,0.030021,0.00180071,0.0301926,0.0111288,1.47577
234,625,-0.202227,98.2253,0.0316468,-3,298,-0.202225,-98.2253,0.0107256,0.0294998,0.00157504,0.029631,0.0105944,1.48768
243,625,-0.0376614,98.1183,0.0334597,6,298,-0.0376587,-98.1183,0.0106852,0.0289859,0.00139578,0.0290917,0.0105794,1.49511
252,625,0.0440529,98.075,0.0353892,15,298,0.0440521,-98.075,0.0108358,0.0284449,0.00122963,0.0285303,0.0107503,1.50142
261,625,0.0839546,98.0592,0.0331931,24,298,0.0839539,-98.0591,0.0111923,0.0278748,0.00107373,0.0279437,0.0111235,1.50679
270,625,0.124433,98.0974,0.030349,33,298,0.12442,-98.0974,0.0117597,0.02728,0.000927575,0.0273352,0.0117044,1.51131
279,625,0.12314,98.187,0.0250766,42,298,0.123138,-98.187,0.0125432,0.0266642,0.000790565,0.0267084,0.0124991,1.51504
288,625,0.267213,98.182,0.0248529,51,298,0.267212,-98.182,0.0135486,0.0260309,0.000661945,0.0260659,0.0135136,1.51796
297,625,0.260772,98.1659,0.0240603,60,298,0.260773,-98.166,0.0147819,0.0253826,0.000540739,0.0254101,0.0147543,1.51996
306,625,0.214925,98.1256,0.0223729,69,298,0.214935,-98.1255,0.0164396,0.024613,0.00040055,0.0246326,0.01642,1.52195
315,625,0.252962,98.1829,0.02642,78,298,0.25296,-98.1829,0.0185647,0.023782,0.000270157,0.023796,0.0185507,1.5192
324,625,0.995952,98.1639,0.0228977,87,298,0.995941,-98.1639,0.0213075,0.0229504,0.000162452,0.0229664,0.0212916,1.47318
207,634,-0.702735,99.3919,0.0317832,-30,289,-0.702728,-99.3919,0.0137339,0.0277836,0.00188781,0.0280328,0.0134847,1.43953
216,634,-0.265694,99.2555,0.0268057,-21,289,-0.265686,-99.2555,0.012187,0.0275582,0.00164889,0.0277331,0.0120121,1.46513
225,634,-0.203917,99.0757,0.0265901,-12,289,-0.203918,-99.0757,0.0111367,0.0272555,0.00145641,0.0273861,0.0110062,1.48141
234,634,-0.167642,98.7054,0.0286072,-3,289,-0.167648,-98.7054,0.0106284,0.0269069,0.00130356,0.0270106,0.0105247,1.49139
243,634,-0.14438,98.6969,0.0322811,6,289,-0.144379,-98.6969,0.0106117,0.02654,0.00118498,0.0266277,0.010524,1.49694
270,634,0.0861026,98.1144,0.030967,33,289,0.0860901,-98.1144,0.011758,0.0252749,0.000894719,0.0253339,0.011699,1.50499
288,634,0.252422,98.441,0.0241673,51,289,0.252411,-98.441,0.0135827,0.0243195,0.000746391,0.0243712,0.013531,1.50172
297,634,0.221696,98.2818,0.02385,60,289,0.22171,-98.2817,0.0148301,0.0238159,0.000683212,0.0238675,0.0147784,1.49534
306,634,0.177758,98.2269,0.0244165,69,289,0.177765,-98.2269,0.0164954,0.0232154,0.000610534,0.0232704,0.0164404,1.48092
315,634,0.440884,98.4325,0.0286103,78,289,0.440887,-98.4325,0.0186438,0.02256,0.000550503,0.0226359,0.0185678,1.43376
324,634,1.07599,98.3121,0.0287611,87,289,1.07599,-98.3121,0.0214127,0.0219017,0.000513124,0.0222256,0.0210888,1.00771
207,643,-0.728492,99.41,0.0306261,-30,280,-0.728485,-99.41,0.0133971,0.0249441,0.00146443,0.025127,0.0132143,1.44659
216,643,-0.329128,99.3496,0.0266743,-21,280,-0.329132,-99.3497,0.0119231,0.0248296,0.00128726,0.0249567,0.0117959,1.47235
225,643,-0.242071,99.3274,0.0254952,-12,280,-0.242065,-99.3274,0.0109362,0.0246446,0.00115414,0.0247411,0.0108397,1.48739
234,643,-0.147482,99.3296,0.0270591,-3,280,-0.147476,-99.3296,0.0104884,0.0244195,0.00105622,0.0244991,0.0104088,1.49555
243,643,-0.0757736,99.2585,0.0299193,6,280,-0.0757751,-99.2585,0.0104973,0.0241605,0.000984741,0.0242311,0.0104267,1.49922
252,643,-0.0112832,99.1544,0.0363257,15,280,-0.0112762,-99.1544,0.0107013,0.0238735,0.000924195,0.0239381,0.0106368,1.50109
261,643,0.0575607,99.3889,0.0373865,24,280,0.0575562,-99.3889,0.0111066,0.0235609,0.000873702,0.0236219,0.0110456,1.5011
279,643,0.12515,98.933,0.0302425,42,280,0.125153,-98.933,0.0125412,0.0228698,0.000800307,0.0229315,0.0124795,1.49392
288,643,0.220572,98.9033,0.0263892,51,280,0.220581,-98.9033,0.0135814,0.0224959,0.000775805,0.022563,0.0135144,1.48463
297,643,0.236903,98.6747,0.0243507,60,280,0.236908,-98.6747,0.0148447,0.0221054,0.000758083,0.0221837,0.0147664,1.46787
306,643,0.463849,98.5622,0.0249584,69,280,0.463837,-98.5622,0.0165257,0.0216376,0.000739279,0.0217424,0.0164209,1.43002
315,643,0.615389,98.6626,0.0299773,78,280,0.615387,-98.6626,0.0187017,0.0211232,0.000735977,0.0213293,0.0184956,1.2977
324,643,1.08121,98.3308,0.030625,87,280,1.08121,-98.3308,0.0214995,0.0206064,0.000755409,0.0219305,0.0201755,0.51846
207,652,-0.756273,99.4866,0.0282128,-30,271,-0.756271,-99.4866,0.0130567,0.0224774,0.00111993,0.0226088,0.0129254,1.45408
216,652,-0.430725,99.454,0.0268405,-21,271,-0.430725,-99.454,0.0116497,0.0224313,0.000990917,0.0225216,0.0115594,1.4799
225,652,-0.31744,99.4799,0.0246798,-12,271,-0.317444,-99.4799,0.0107225,0.02232,0.000902587,0.0223898,0.0106527,1.49359
234,652,-0.171881,99.5265,0.0242105,-3,271,-0.171875,-99.5264,0.01033,0.0221717,0.000843101,0.0222315,0.0102703,1.50007
243,652,-0.0587239,99.4863,0.0250289,6,271,-0.0587311,-99.4863,0.0103651,0.0219817,0.000805271,0.0220372,0.0103096,1.50191
252,652,0.0329049,99.403,0.0278828,15,271,0.0328979,-99.403,0.010596,0.0217645,0.000777411,0.0218184,0.0105421,1.50163
261,652,0.0576178,99.5757,0.0312526,24,271,0.0576172,-99.5757,0.0110261,0.021524,0.000759321,0.0215787,0.0109714,1.49896
270,652,0.06324,99.6664,0.0299372,33,271,0.0632324,-99.6664,0.0116605,0.0212627,0.00075038,0.021321,0.0116022,1.49328
279,652,0.0755996,99.7189,0.0285195,42,271,0.075592,-99.7189,0.0125045,0.0209826,0.000749854,0.0210484,0.0124386,1.48326
288,652,0.120224,99.7032,0.028004,51,271,0.120239,-99.7032,0.0135636,0.0206854,0.000756868,0.020765,0.013484,1.46608
297,652,0.198624,99.5664,0.0253326,60,271,0.198639,-99.5663,0.0148437,0.0203724,0.000770382,0.0204777,0.0147383,1.4349
306,652,0.480605,99.2608,0.0247799,69,271,0.480591,-99.2607,0.0165456,0.019996,0.00078898,0.0201679,0.0163737,1.35633
315,652,0.63365,99.2958,0.0266534,78,271,0.633636,-99.2958,0.0187518,0.0195816,0.000824982,0.0200901,0.0182433,1.01839
207,661,-0.642415,99.6161,0.0266921,-30,262,-0.64241,-99.6161,0.0127148,0.0203749,0.000833425,0.0204646,0.0126251,1.46367
216,661,-0.425256,99.6147,0.0252683,-21,262,-0.425262,-99.6147,0.0113713,0.020382,0.000744992,0.0204432,0.0113101,1.48886
225,661,-0.295252,99.641,0.0236211,-12,262,-0.295258,-99.6411,0.0105018,0.0203236,0.000691685,0.0203721,0.0104533,1.50083
234,661,-0.16285,99.7029,0.0231854,-3,262,-0.162857,-99.7029,0.0101627,0.0202258,0.000659394,0.0202688,0.0101197,1.50564
243,661,-0.0742311,99.6919,0.0213411,6,262,-0.074234,-99.6919,0.0102278,0.0200818,0.000645307,0.0201239,0.0101857,1.50568
252,661,0.0158939,99.6522,0.0219725,15,262,0.0158997,-99.6522,0.0104886,0.0199106,0.00063972,0.0199539,0.0104454,1.50331
261,661,0.0895348,99.6994,0.0245931,24,262,0.0895386,-99.6994,0.0109471,0.0197169,0.000642942,0.0197638,0.0109002,1.498
270,661,0.092868,99.7542,0.0267186,33,262,0.092865,-99.7542,0.0116082,0.0195028,0.000654385,0.0195567,0.0115543,1.48865
279,661,0.101575,99.7697,0.0261674,42,262,0.101562,-99.7697,0.0124772,0.0192705,0.000673347,0.0193366,0.0124111,1.47295
288,661,0.129582,99.7543,0.0269115,51,262,0.129578,-99.7543,0.0135595,0.0190214,0.000698998,0.0191094,0.0134715,1.44551
297,661,0.164603,99.6899,0.0251476,60,262,0.164612,-99.6899,0.0148609,0.0187566,0.000730364,0.018889,0.0147285,1.39143
306,661,0.354471,99.5742,0.0246815,69,262,0.354462,-99.5742,0.0165928,0.0184367,0.000770148,0.0187161,0.0163134,1.22284
315,661,0.49578,99.5196,0.0241655,78,262,0.495789,-99.5196,0.018826,0.0180682,0.000825596,0.0193555,0.0175387,0.570267
324,661,0.842399,99.3724,0.0251155,87,262,0.842407,-99.3724,0.0216859,0.0177177,0.000902087,0.0218814,0.0175223,0.213362
207,670,-0.526582,99.778,0.0249432,-30,253,-0.526581,-99.778,0.012395,0.0188237,0.000615277,0.0188821,0.0123366,1.47623
216,670,-0.292007,99.7353,0.0222847,-21,253,-0.292007,-99.7353,0.0111136,0.0187848,0.000552408,0.0188244,0.0110741,1.49928
225,670,-0.172787,99.769,0.0215032,-12,253,-0.172791,-99.769,0.010304,0.0187038,0.00052026,0.0187359,0.0102719,1.50917
234,670,-0.0995895,99.8321,0.0218485,-3,253,-0.0995941,-99.832,0.0100199,0.0185999,0.000502684,0.0186292,0.00999056,1.51247
243,670,-0.0680325,99.8265,0.0216441,6,253,-0.0680389,-99.8265,0.0101187,0.0184614,0.000501924,0.0184915,0.0100886,1.51092
252,670,-0.0306422,99.8099,0.0208095,15,253,-0.0306396,-99.8099,0.0104126,0.0183039,0.000508583,0.0183365,0.01038,1.5067
261,670,0.0374237,99.7881,0.0210401,24,253,0.0374146,-99.7881,0.0109023,0.0181312,0.000523175,0.0181688,0.0108646,1.49892
270,670,0.118907,99.7993,0.0245074,33,253,0.118896,-99.7993,0.0115928,0.0179448,0.000545039,0.0179912,0.0115464,1.48582
