 "x",  "y",  "u",  "v",  "sigma",  "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma"
243,634,-0.164432,98.1467,0.03046,6,289,-0.164429,-98.1467,0.021685,0.0194005,0.000634285,0.0218493,0.0192362,0.253446
252,634,-0.106518,98.1113,0.034938,15,289,-0.106522,-98.1113,0.0190071,0.0188203,0.00100504,0.0199231,0.0179043,0.739065
261,634,-0.0690712,98.1101,0.033321,24,289,-0.0690613,-98.11,0.0166249,0.0182284,0.0013931,0.019034,0.0158193,1.04651
270,634,-0.090308,98.1299,0.0303116,33,289,-0.0903015,-98.1299,0.0145398,0.0176241,0.00179594,0.0184491,0.0137148,1.14015
279,634,-0.0817732,98.1287,0.0266902,42,289,-0.0817871,-98.1287,0.0127534,0.0170072,0.00221089,0.0179482,0.0118125,1.16841
288,634,-0.0306023,98.1154,0.0213728,51,289,-0.0306091,-98.1154,0.0112672,0.0163777,0.00263514,0.017493,0.0101519,1.1704
297,634,0.016978,98.0829,0.019377,60,289,0.0169678,-98.0829,0.0100828,0.0157357,0.00306566,0.017079,0.00873945,1.15781
306,634,0.0379756,98.0438,0.0181637,69,289,0.0379639,-98.0438,0.0094239,0.0150079,0.00348648,0.0166826,0.00774927,1.12302
315,634,0.0565806,98.0166,0.0195668,78,289,0.0565796,-98.0166,0.00941133,0.0142537,0.0039203,0.0164402,0.00722483,1.06203
324,634,0.36795,97.9602,0.0228369,87,289,0.36795,-97.9602,0.0102041,0.0134699,0.00436805,0.0165003,0.0071737,0.964269
207,643,-1.71469,98.78,0.0294905,-30,280,-1.71469,-98.78,0.0370769,0.0213854,-0.000983309,0.0371383,0.021324,-0.06234
216,643,-1.22773,98.558,0.0257718,-21,280,-1.22774,-98.558,0.0320527,0.0208722,-0.000746971,0.0321024,0.0208225,-0.0664165
225,643,-0.783802,98.5153,0.0244801,-12,280,-0.783798,-98.5153,0.0277402,0.0203626,-0.000420361,0.0277641,0.0203387,-0.0567327
234,643,-0.262917,98.3221,0.025121,-3,280,-0.262924,-98.3221,0.0241785,0.0198324,-3.7241e-05,0.0241788,0.0198321,-0.00856804
243,643,-0.200432,98.1717,0.0275003,6,280,-0.200424,-98.1717,0.0212762,0.0193665,0.000379097,0.0213487,0.019294,0.188965
252,643,-0.181545,98.1887,0.0334759,15,280,-0.181549,-98.1887,0.0186579,0.0188968,0.000814782,0.0196008,0.0179538,0.858194
288,643,-0.017035,98.1739,0.0228449,51,280,-0.0170288,-98.1739,0.0110728,0.0169617,0.00269936,0.0180118,0.0100227,1.1998
297,643,0.0107998,98.1213,0.0193021,60,280,0.0108032,-98.1213,0.00990817,0.0164634,0.00319238,0.0177612,0.00861041,1.18468
306,643,0.0506334,98.0816,0.0178157,69,280,0.0506287,-98.0816,0.00926203,0.0159117,0.00368516,0.0175502,0.00762351,1.15242
315,643,0.0865574,98.0553,0.019976,78,280,0.0865479,-98.0553,0.00926887,0.0153497,0.00419544,0.0174906,0.00712799,1.09895
324,643,0.231337,97.9878,0.0232788,87,280,0.231323,-97.9878,0.0100744,0.0147745,0.00472061,0.0176976,0.00715119,1.01635
207,652,-1.66343,99.1328,0.0266743,-30,271,-1.66342,-99.1328,0.036067,0.0206995,-0.0014434,0.0362014,0.0205651,-0.092843
216,652,-1.27337,98.8658,0.0265094,-21,271,-1.27336,-98.8658,0.0312099,0.0202496,-0.0011331,0.0313258,0.0201337,-0.101947
225,652,-0.942932,98.913,0.025484,-12,271,-0.942932,-98.913,0.0270395,0.0198161,-0.000740433,0.0271146,0.019741,-0.101105
234,652,-0.566839,98.7508,0.0251872,-3,271,-0.566833,-98.7507,0.0236015,0.0193778,-0.00030071,0.0236228,0.0193565,-0.0707197
243,652,-0.251025,98.5025,0.0252843,6,271,-0.251022,-98.5025,0.020771,0.0189966,0.000165174,0.0207862,0.0189814,0.0920357
252,652,-0.171476,98.6022,0.0276234,15,271,-0.171478,-98.6022,0.018219,0.0186157,0.000648596,0.0190956,0.0177391,0.933784
261,652,-0.13658,99.0174,0.0314792,24,271,-0.136566,-99.0174,0.0159457,0.0182359,0.00114793,0.0187122,0.0154694,1.17748
270,652,-0.0610836,99.5694,0.0314972,33,271,-0.0610962,-99.5694,0.0139532,0.0178571,0.00166086,0.0184681,0.0133423,1.2183
279,652,-0.0395988,98.8318,0.0278484,42,271,-0.0396118,-98.8318,0.0122438,0.0174794,0.00218487,0.0182713,0.0114518,1.22305
288,652,-0.0114717,98.4305,0.0250375,51,271,-0.0114746,-98.4305,0.0108196,0.0171028,0.00271731,0.018115,0.00980753,1.21424
297,652,0.0432758,98.2907,0.0211974,60,271,0.0432739,-98.2906,0.00968305,0.016728,0.00325528,0.0180019,0.0084092,1.1978
306,652,0.108884,98.2023,0.019194,69,271,0.108887,-98.2023,0.00906424,0.0163302,0.00380015,0.0179545,0.00743987,1.16685
315,652,0.146772,98.1614,0.0195509,78,271,0.146759,-98.1614,0.00910207,0.0159396,0.004366,0.0180661,0.00697557,1.11756
