 "x",  "y",  "u",  "v",  "sigma",  "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma"
216,607,-0.352867,97.2152,0.0611476,-21,316,-0.352875,-97.2151,0.0118573,0.0375517,0.00205376,0.0377148,0.0116942,1.49154
225,607,-0.386472,97.7363,0.0502023,-12,316,-0.386475,-97.7363,0.0103589,0.0358474,0.00168939,0.0359589,0.0102474,1.5049
234,607,-0.201516,97.8739,0.0386899,-3,316,-0.201523,-97.8738,0.00936161,0.0340554,0.00142949,0.0341379,0.00927914,1.51316
243,607,0.0360062,98.0603,0.0294225,6,316,0.0360107,-98.0603,0.00899318,0.0324883,0.00127224,0.032557,0.00892449,1.51686
252,607,0.031654,97.9832,0.0249855,15,316,0.0316467,-97.9832,0.00879032,0.030903,0.00115734,0.0309635,0.00872991,1.51865
261,607,0.0228838,97.9901,0.0225786,24,316,0.0228882,-97.9901,0.00878612,0.0292895,0.00107639,0.0293459,0.00872976,1.51849
270,607,0.0306429,98.0158,0.0198996,33,316,0.0306396,-98.0158,0.00898623,0.0276563,0.00102483,0.0277124,0.00893015,1.51612
279,607,0.032696,98.0186,0.0175094,42,316,0.0326843,-98.0186,0.00939673,0.026012,0.000998238,0.0260718,0.00933697,1.511
288,607,0.0808889,98.019,0.0168638,51,316,0.0809021,-98.019,0.0100241,0.0243647,0.000992209,0.024433,0.00995573,1.50204
297,607,0.138354,98.0146,0.0181826,60,316,0.138367,-98.0146,0.010875,0.0227217,0.00100227,0.0228059,0.0107908,1.48699
306,607,0.14205,97.9981,0.021359,69,316,0.142059,-97.998,0.0121838,0.0208593,0.00102212,0.0209781,0.012065,1.45509
315,607,0.196216,97.9881,0.0237681,78,316,0.196228,-97.9881,0.0138959,0.0189401,0.00106568,0.019156,0.01368,1.37091
324,607,0.272671,97.9755,0.0301363,87,316,0.272675,-97.9755,0.0162119,0.0170921,0.00113325,0.0178677,0.0154363,0.970621
216,616,-0.322937,98.2153,0.0432893,-21,307,-0.322937,-98.2153,0.0122844,0.0348043,0.00199024,0.0349788,0.0121098,1.48332
225,616,-0.226398,98.0017,0.0383058,-12,307,-0.226395,-98.0017,0.0108076,0.0334412,0.00170023,0.0335682,0.0106806,1.49623
234,616,-0.0756123,98.0005,0.032852,-3,307,-0.0756073,-98.0005,0.00982918,0.0320042,0.00150928,0.0321065,0.00972693,1.50315
243,616,0.0416112,98.0273,0.0306332,6,307,0.0416107,-98.0273,0.00946402,0.0307378,0.00140848,0.0308307,0.00937117,1.50497
252,616,0.0829028,98.0399,0.0307903,15,307,0.082901,-98.0399,0.00927553,0.029454,0.00134853,0.0295437,0.00918581,1.50436
261,616,0.0701635,98.0296,0.0286261,24,307,0.0701599,-98.0295,0.0092878,0.0281453,0.00132181,0.0282375,0.0091956,1.50116
270,616,0.0697203,98.0601,0.0246316,33,307,0.0697327,-98.0601,0.00950619,0.026819,0.00132379,0.0269196,0.00940555,1.49492
279,616,0.0838586,98.0868,0.0208014,42,307,0.0838623,-98.0869,0.0099365,0.0254817,0.00134999,0.0255981,0.00982014,1.48481
288,616,0.153955,98.0949,0.0207373,51,307,0.153961,-98.0949,0.0105849,0.0241402,0.00139593,0.0242824,0.0104427,1.46924
297,616,0.192898,98.0754,0.0199338,60,307,0.192902,-98.0754,0.011458,0.0228002,0.00145701,0.0229843,0.0112738,1.44506
306,616,0.150407,98.0419,0.0201095,69,307,0.150421,-98.0419,0.0127698,0.0212896,0.00152974,0.021556,0.0125035,1.39842
315,616,0.0849543,98.0192,0.0213909,78,307,0.0849609,-98.0192,0.0145209,0.0197386,0.00163351,0.0202078,0.0140517,1.29109
324,616,0.658813,98.0347,0.022827,87,307,0.658813,-98.0347,0.0168798,0.0182478,0.00175837,0.0194505,0.0156771,0.970886
333,616,1.26034,98.0849,0.0276987,96,307,1.26035,-98.0849,0.0199488,0.016839,0.00184581,0.0208073,0.0159805,0.435371
216,625,-0.27436,98.7854,0.0299172,-21,298,-0.274353,-98.7854,0.0126141,0.0318788,0.00181097,0.0320476,0.0124454,1.47788
225,625,-0.190554,98.3223,0.0272362,-12,298,-0.190552,-98.3223,0.0111688,0.0308077,0.0015905,0.0309357,0.0110409,1.49051
234,625,-0.0733376,98.1556,0.0290624,-3,298,-0.0733337,-98.1556,0.0102543,0.0296882,0.00146551,0.0297981,0.0101444,1.49595
243,625,0.0230554,98.0931,0.0318108,6,298,0.023056,-98.0931,0.00990287,0.0286813,0.00141716,0.0287876,0.00979653,1.49589
252,625,0.0631199,98.0513,0.0345158,15,298,0.0631256,-98.0513,0.00973811,0.0276573,0.00140765,0.0277672,0.00962821,1.49288
261,625,0.087565,98.0323,0.0324921,24,298,0.0875549,-98.0323,0.00977646,0.0266126,0.00143044,0.0267332,0.00965579,1.48664
270,625,0.0960481,98.0839,0.0294719,33,298,0.0960388,-98.0839,0.0100229,0.0255528,0.00148108,0.0256927,0.00988294,1.47656
279,625,0.110989,98.1633,0.0250218,42,298,0.110992,-98.1633,0.0104829,0.0244837,0.00155518,0.0246543,0.0103123,1.46149
288,625,0.246206,98.1454,0.0246891,51,298,0.246216,-98.1453,0.0111623,0.0234107,0.00164834,0.0236286,0.0109443,1.43934
297,625,0.220903,98.0851,0.0231772,60,298,0.220917,-98.0851,0.0120671,0.0223388,0.00175602,0.0226307,0.0117752,1.40607
306,625,0.152596,98.0433,0.0204503,69,298,0.152588,-98.0433,0.0133995,0.0211383,0.00188013,0.0215709,0.0129669,1.34465
315,625,0.000863475,98.0125,0.0230578,78,298,0.000854492,-98.0125,0.0152022,0.0199162,0.00204108,0.0206771,0.0144412,1.21396
324,625,0.762628,98.0654,0.0205207,87,298,0.762634,-98.0654,0.0176159,0.018752,0.00222148,0.0204769,0.015891,0.91057
207,634,-0.567302,99.469,0.0314295,-30,289,-0.567307,-99.4689,0.0147607,0.02973,0.00187999,0.0299625,0.0145282,1.44775
216,634,-0.278261,99.148,0.0255538,-21,289,-0.278259,-99.148,0.0128496,0.0289527,0.00157949,0.0291062,0.0126962,1.47394
225,634,-0.18035,98.6369,0.0242295,-12,289,-0.180344,-98.6369,0.0114429,0.0281234,0.00142119,0.0282437,0.0113227,1.48641
234,634,-0.0927335,98.3811,0.0266748,-3,289,-0.0927277,-98.381,0.0105889,0.0272651,0.0013535,0.0273743,0.0104797,1.49033
270,634,0.111405,98.1584,0.0307217,33,289,0.11142,-98.1584,0.0104776,0.02402,0.00154452,0.024194,0.0103037,1.45866
279,634,0.14471,98.4892,0.0285748,42,289,0.144714,-98.4892,0.0109752,0.0231814,0.00165999,0.0234031,0.0107534,1.43801
288,634,0.222724,98.2932,0.0234343,51,289,0.222717,-98.2932,0.0116938,0.0223406,0.00179386,0.0226348,0.0113997,1.40828
297,634,0.19202,98.132,0.0222163,60,289,0.192017,-98.132,0.0126393,0.0215021,0.00194175,0.0219088,0.0122326,1.36431
306,634,0.127981,98.0657,0.0214661,69,289,0.127991,-98.0657,0.0140098,0.0205701,0.0021123,0.0211914,0.0133885,1.28474
315,634,0.10556,98.0911,0.0233197,78,289,0.10556,-98.0911,0.0158785,0.0196361,0.00232373,0.0207455,0.0147691,1.12536
324,634,0.678473,98.1414,0.0250685,87,289,0.678467,-98.1414,0.0183634,0.0187615,0.00255277,0.021123,0.0160019,0.824314
207,643,-0.666333,99.325,0.0306331,-30,280,-0.666336,-99.325,0.014875,0.026789,0.00157754,0.0269943,0.0146697,1.44136
216,643,-0.349184,99.2058,0.0265422,-21,280,-0.349182,-99.2059,0.0129989,0.0261843,0.00133928,0.026319,0.0128643,1.47059
225,643,-0.26396,98.9971,0.0246452,-12,280,-0.263962,-98.9971,0.0116353,0.0255425,0.00123383,0.0256511,0.0115267,1.48299
234,643,-0.136443,98.689,0.0256172,-3,280,-0.136444,-98.689,0.0108393,0.0248869,0.00121207,0.0249907,0.0107355,1.48535
243,643,-0.145013,99.222,0.029502,6,280,-0.14502,-99.222,0.0105366,0.0242733,0.0012474,0.0243856,0.0104242,1.48097
252,643,-0.0335158,99.3617,0.0363069,15,280,-0.0335083,-99.3616,0.0104365,0.0236459,0.00131719,0.023776,0.0103065,1.47237
261,643,0.0707047,99.562,0.0372309,24,280,0.0707092,-99.562,0.0105454,0.0230073,0.00141696,0.0231663,0.0103863,1.45899
279,643,0.129212,98.9235,0.0305478,42,280,0.129211,-98.9235,0.0114078,0.0217126,0.00169026,0.0219828,0.0111376,1.4123
297,643,0.172628,98.2158,0.0225777,60,280,0.172638,-98.2158,0.0131632,0.0204212,0.00203448,0.0209526,0.0126318,1.31532
306,643,0.224839,98.1536,0.0216568,69,280,0.224854,-98.1536,0.0145848,0.0197145,0.00224222,0.0205564,0.0137429,1.21161
315,643,0.246098,98.1274,0.02444,78,280,0.246094,-98.1274,0.0165291,0.0190252,0.0024933,0.0205654,0.014989,1.01745
324,643,0.73609,98.1585,0.0272345,87,280,0.736084,-98.1584,0.0190958,0.0184,0.00276033,0.02153,0.0159657,0.722708
207,652,-0.864275,99.3875,0.0290336,-30,271,-0.864273,-99.3875,0.0149114,0.0241981,0.00129531,0.0243754,0.0147341,1.43477
216,652,-0.513287,99.3075,0.0276696,-21,271,-0.51329,-99.3076,0.0130726,0.0237132,0.00111167,0.0238281,0.0129577,1.4678
225,652,-0.396118,99.3209,0.0251598,-12,271,-0.396118,-99.3209,0.0117551,0.0232047,0.00105029,0.0233003,0.0116596,1.48007
234,652,-0.284901,99.4218,0.0243853,-3,271,-0.284897,-99.4218,0.0110158,0.0226937,0.00106321,0.0227897,0.0109198,1.48074
243,652,-0.13069,99.4794,0.0248365,6,271,-0.130692,-99.4794,0.0107449,0.0222085,0.00112658,0.0223181,0.0106352,1.47376
252,652,-0.0280779,99.4421,0.02747,15,271,-0.0280762,-99.4421,0.0106826,0.0217126,0.00122183,0.0218464,0.0105489,1.46178
261,652,0.0695121,99.6714,0.0309194,24,271,0.069519,-99.6714,0.0108324,0.0212106,0.00134538,0.0213822,0.0106608,1.44395
270,652,0.0537935,99.6721,0.0301973,33,271,0.0538025,-99.6721,0.0111983,0.020706,0.00149343,0.0209351,0.0109692,1.4186
279,652,0.0686583,99.62,0.0296743,42,271,0.0686646,-99.6201,0.0117848,0.0202025,0.00166216,0.0205188,0.0114684,1.38274
288,652,0.135125,99.5981,0.029398,51,271,0.135132,-99.5981,0.0125967,0.0197035,0.0018477,0.0201552,0.012145,1.33104
306,652,0.465696,98.7256,0.0232034,69,271,0.465698,-98.7256,0.0151216,0.0186819,0.00227781,0.0197926,0.0140108,1.11708
315,652,0.472988,98.4592,0.0238804,78,271,0.472992,-98.4592,0.0171477,0.0181872,0.00255314,0.020273,0.015062,0.88581
324,652,0.775974,98.3448,0.02583,87,271,0.77597,-98.3448,0.0198028,0.0177636,0.00284221,0.0218028,0.0157636,0.613176
207,661,-0.784425,99.6042,0.0278066,-30,262,-0.784424,-99.6042,0.0148826,0.0218689,0.00102366,0.0220158,0.0147357,1.42826
216,661,-0.479249,99.5272,0.0264129,-21,262,-0.479248,-99.5272,0.0130815,0.0214937,0.000892042,0.0215872,0.012988,1.4663
225,661,-0.372072,99.5482,0.0248658,-12,262,-0.37207,-99.5482,0.0118107,0.0211009,0.000869716,0.0211816,0.01173,1.47825
234,661,-0.258584,99.6582,0.0238246,-3,262,-0.258591,-99.6582,0.0111269,0.0207081,0.000910145,0.0207938,0.0110412,1.47692
243,661,-0.112076,99.6802,0.0212006,6,262,-0.112076,-99.6802,0.0108926,0.0203298,0.000994979,0.0204336,0.0107888,1.46689
252,661,-0.001231,99.679,0.0215291,15,262,-0.00123596,-99.679,0.0108725,0.0199419,0.0011083,0.0200753,0.010739,1.45094
261,661,0.0692705,99.7339,0.0243689,24,262,0.0692749,-99.7339,0.0110678,0.0195501,0.00124733,0.0197298,0.0108882,1.42778
270,661,0.0655078,99.7225,0.0271729,33,262,0.0655212,-99.7225,0.0114824,0.0191581,0.00140862,0.0194084,0.0112321,1.39491
279,661,0.0961414,99.6637,0.0276797,42,262,0.0961304,-99.6637,0.0121207,0.0187689,0.00158863,0.019129,0.0117606,1.34789
288,661,0.130737,99.6615,0.0291295,51,262,0.130737,-99.6614,0.012987,0.0183859,0.00178376,0.018922,0.0124509,1.27883
297,661,0.19706,99.6164,0.0264799,60,262,0.197052,-99.6164,0.0140861,0.0180119,0.00199032,0.0188444,0.0132536,1.17463
306,661,0.425322,99.3555,0.0247484,69,262,0.425323,-99.3555,0.0156426,0.0176172,0.00223254,0.019071,0.0141888,0.993583
315,661,0.598538,98.9799,0.0232435,78,262,0.598541,-98.9799,0.0177556,0.0172582,0.002514,0.0200332,0.0149807,0.736093
324,661,0.831947,98.7453,0.0237903,87,262,0.83194,-98.7454,0.0204999,0.0169661,0.002804,0.0220473,0.0154187,0.504255
207,670,-0.65654,99.7995,0.0260802,-30,253,-0.65654,-99.7995,0.0147797,0.0200966,0.000788723,0.0202111,0.0146652,1.42659
216,670,-0.361715,99.7107,0.0237158,-21,253,-0.36171,-99.7108,0.0130313,0.0197359,0.000699374,0.0198081,0.0129591,1.46796
225,670,-0.242729,99.7211,0.0232216,-12,253,-0.242737,-99.7211,0.01182,0.0193806,0.000706124,0.019446,0.0117546,1.47847
234,670,-0.148899,99.7979,0.0229006,-3,253,-0.148895,-99.7979,0.0111996,0.0190401,0.000763961,0.0191138,0.0111259,1.47456
243,670,-0.0712677,99.7926,0.0216988,6,253,-0.0712738,-99.7926,0.0110101,0.0187195,0.000861569,0.0188146,0.010915,1.46085
